P22000035,-78.58727532,35.77517056,54D,Southeast,2022-01-01,3:24:00,Drug Violation/Misdemeanor,RALEIGH,600 BLOCK RAWLS DR
P22000035,-78.58727532,35.77517056,80A,Southeast,2022-01-01,3:24:00,All Other/All Other Offenses,RALEIGH,600 BLOCK RAWLS DR
P22000036,-78.59341518,35.86808845,51C,North,2022-01-01,3:14:00,Weapons/Shots Fired,RALEIGH,6300 BLOCK SHADOWLAND CRSG
P22000038,-78.62521959,35.81336159,25E,North,2022-01-01,3:53:00,Assault/Simple,RALEIGH,2400 BLOCK PAULA ST
P22000039,-78.62756981,35.83017627,25E,North,2022-01-01,3:34:00,Assault/Simple,RALEIGH,700 BLOCK NAVAHO DR
P22000040,-78.77289217,35.9103033,25E,Northwest,2022-01-01,3:59:00,Assault/Simple,RALEIGH,7900 BLOCK SUMTER RIDGE LN
P22000041,-78.6387852,35.80217083,82E,Downtown,2022-01-01,2:15:00,Humane/Animal Bite,RALEIGH,1500 BLOCK HANOVER ST
P22000042,-78.61253986,35.75379513,35H,Southeast,2022-01-01,4:30:00,Larceny/All Other,RALEIGH,2000 BLOCK ROCK QUARRY RD
P22000043,-78.64889943,35.74957352,70E,Downtown,2022-01-01,4:46:00,Disorderly Conduct/Resist-Delay-Obstruct Officer,RALEIGH,2500 BLOCK S SAUNDERS ST
P22000043,-78.64889943,35.74957352,54C,Downtown,2022-01-01,4:46:00,Drug Violation/Felony,RALEIGH,2500 BLOCK S SAUNDERS ST
P22000044,-78.59429741,35.87742803,25E,North,2022-01-01,4:20:00,Assault/Simple,RALEIGH,7200 BLOCK CIRCLEBANK DR
P22000044,-78.59429741,35.87742803,80B,North,2022-01-01,4:20:00,All Other/Damage to Property (minor),RALEIGH,7200 BLOCK CIRCLEBANK DR
P22000046,-78.58078849,35.83809817,51A,North,2022-01-01,5:17:00,Weapons/Carry Concealed Weapon,RALEIGH,4200 BLOCK CAPITAL BLVD
P22000047,-78.57158391,35.84435959,70E,Northeast,2022-01-01,6:25:00,Disorderly Conduct/Resist-Delay-Obstruct Officer,RALEIGH,4000 BLOCK WATER OAK DR
P22000047,-78.57158391,35.84435959,54D,Northeast,2022-01-01,6:25:00,Drug Violation/Misdemeanor,RALEIGH,4000 BLOCK WATER OAK DR
P22000048,-78.64121055,35.77833719,40A,Downtown,2022-01-01,3:48:00,Motor Vehicle Theft,RALEIGH,100 BLOCK W HARGETT ST
P22000049,-78.62723341,35.78308142,80D,Southeast,2022-01-01,4:26:00,All Other/Trespassing,RALEIGH,200 BLOCK SEAWELL AVE
P22000051,-78.58883454,35.8228824,71A,North,2022-01-01,7:02:00,Traffic/DWI (Driving While Impaired),RALEIGH,3100 BLOCK CAPITAL BLVD
P22000053,-78.71518005,35.85403296,30B,Northwest,2022-01-01,7:00:00,Burglary/Residential,RALEIGH,4600 BLOCK TWISTED OAKS DR
P22000054,-78.64896799,35.75559301,80B,Downtown,2022-01-01,6:18:00,All Other/Damage to Property (minor),RALEIGH,1800 BLOCK S SAUNDERS ST
P22000055,-78.64725321,35.78657852,25E,Downtown,2022-01-01,5:34:00,Assault/Simple,RALEIGH,500 BLOCK GLENWOOD AVE
P22000058,-78.58074987,35.83819123,30A,North,2022-01-01,7:39:00,Burglary/Commercial or Non-Residential,RALEIGH,4200 BLOCK CAPITAL BLVD
P22000058,-78.58074987,35.83819123,35F,North,2022-01-01,7:39:00,Larceny/Theft from Motor Vehicle,RALEIGH,4200 BLOCK CAPITAL BLVD
P22000058,-78.58074987,35.83819123,53A,North,2022-01-01,7:39:00,Damage to Property (Group A),RALEIGH,4200 BLOCK CAPITAL BLVD
P22000059,-78.58074987,35.83819123,80D,North,2022-01-01,8:16:00,All Other/Trespassing,RALEIGH,4200 BLOCK CAPITAL BLVD
P22000063,-78.58067259,35.83837736,35F,North,2022-01-01,9:09:00,Larceny/Theft from Motor Vehicle,RALEIGH,4200 BLOCK CAPITAL BLVD
P22000063,-78.58067259,35.83837736,53A,North,2022-01-01,9:09:00,Damage to Property (Group A),RALEIGH,4200 BLOCK CAPITAL BLVD
P22000066,-78.64726924,35.78627606,35H,Downtown,2022-01-01,9:05:00,Larceny/All Other,RALEIGH,500 BLOCK GLENWOOD AV
P22000067,-78.6516869,35.79870121,30B,Southwest,2022-01-01,9:05:00,Burglary/Residential,RALEIGH,900 BLOCK WILLIAMSON DR
P22000069,-78.62355174,35.77991784,35H,Southeast,2022-01-01,9:59:00,Larceny/All Other,RALEIGH,1100 BLOCK NEW BERN AV
P22000074,-78.58901143,35.8224669,35H,Northeast,2022-01-01,9:34:00,Larceny/All Other,RALEIGH,3100 BLOCK CAPITAL BLVD
P22000075,-78.7210647,35.7484668,71A,Southwest,2022-01-01,10:37:00,Traffic/DWI (Driving While Impaired),WAKE COUNTY,4900 BLOCK TRYON RD
P22000076,-78.61831362,35.74661596,25G,Southeast,2022-01-01,10:24:00,Assault/Aggravated,RALEIGH,2400 BLOCK KEITH DR
P22000077,-78.59429741,35.87742803,25E,North,2022-01-01,9:58:00,Assault/Simple,RALEIGH,7200 BLOCK CIRCLEBANK DR
P22000077,-78.59429741,35.87742803,80B,North,2022-01-01,9:58:00,All Other/Damage to Property (minor),RALEIGH,7200 BLOCK CIRCLEBANK DR
P22000078,-78.58901143,35.8224669,25G,Northeast,2022-01-01,10:58:00,Assault/Aggravated,RALEIGH,3100 BLOCK CAPITAL BLVD
P22000078,-78.58901143,35.8224669,80B,Northeast,2022-01-01,10:58:00,All Other/Damage to Property (minor),RALEIGH,3100 BLOCK CAPITAL BLVD
P22000079,-78.71326011,35.86368053,54Z,Northwest,2022-01-01,11:12:00,Drug Equipment/Paraphernalia,RALEIGH,7000 BLOCK GLENWOOD AVE
P22000079,-78.71326011,35.86368053,54D,Northwest,2022-01-01,11:12:00,Drug Violation/Misdemeanor,RALEIGH,7000 BLOCK GLENWOOD AVE
P22000085,-78.58425097,35.78219287,25E,Southeast,2022-01-01,10:59:00,Assault/Simple,RALEIGH,3000 BLOCK FALSTAFF RD
P22000088,-78.676263,35.83421911,25E,Northwest,2022-01-01,12:12:00,Assault/Simple,RALEIGH,2200 BLOCK SUMMIT PARK LN
P22000092,-78.71343229,35.86049312,25E,Northwest,2022-01-01,11:01:00,Assault/Simple,RALEIGH,4800 BLOCK EDGERTON CT
P22000096,-78.63004465,35.75594242,35F,Southeast,2022-01-01,12:43:00,Larceny/Theft from Motor Vehicle,RALEIGH,500 BLOCK BAILEY DR
P22000098,-78.74481217,35.77767755,25G,Southwest,2022-01-01,13:38:00,Assault/Aggravated,RALEIGH,6200 BLOCK ST REGIS CIR
P22000100,-78.77747771,35.90961006,53A,Northwest,2022-01-01,14:21:00,Damage to Property (Group A),RALEIGH,10000 BLOCK GLENWOOD AVE
P22000102,-78.6232087,35.73201026,25E,Southeast,2022-01-01,14:03:00,Assault/Simple,RALEIGH,3700 BLOCK HORSESHOE FARM ST
P22000102,-78.6232087,35.73201026,30B,Southeast,2022-01-01,14:03:00,Burglary/Residential,RALEIGH,3700 BLOCK HORSESHOE FARM ST
P22000103,-78.77747771,35.90961006,25E,Northwest,2022-01-01,14:40:00,Assault/Simple,RALEIGH,10000 BLOCK GLENWOOD AVE
P22000105,-78.78756974,35.9068381,35F,Northwest,2022-01-01,13:55:00,Larceny/Theft from Motor Vehicle,RALEIGH,10400 BLOCK ASHLAND GATE DR
P22000106,-78.55918644,35.73207778,52C,Southeast,2022-01-01,13:17:00,Stolen Property/Recover Stolen Property (no arrest) (STOLEN FROM OTHER JURISDICTION),RALEIGH,5400 BLOCK ROCK QUARRY RD
P22000107,-78.6366708,35.77655134,25G,Downtown,2022-01-01,14:25:00,Assault/Aggravated,RALEIGH,300 BLOCK S BLOUNT ST
