P22010790,-78.62652873,35.81444673,30A,Northeast,2022-02-28,3:52:00,Burglary/Commercial or Non-Residential,RALEIGH,2400 BLOCK WAKE FOREST RD
P22010792,-78.68125149,35.74294872,25E,Southwest,2022-02-28,5:15:00,Assault/Simple,WAKE COUNTY,2800 BLOCK TRYON RD
P22010796,-78.5851662,35.76732111,35F,Southeast,2022-02-28,6:31:00,Larceny/Theft from Motor Vehicle,RALEIGH,3300 BLOCK FRIAR TUCK RD
P22010796,-78.5851662,35.76732111,80B,Southeast,2022-02-28,6:31:00,All Other/Damage to Property (minor),RALEIGH,3300 BLOCK FRIAR TUCK RD
P22010799,-78.56049272,35.94205293,35C,North,2022-02-28,7:21:00,Larceny/Shoplifting,RALEIGH,13200 BLOCK FALLS OF NEUSE RD
P22010805,-78.59051009,35.84626591,35F,Northeast,2022-02-28,8:08:00,Larceny/Theft from Motor Vehicle,RALEIGH,2900 BLOCK CALVARY DR
P22010806,-78.70478462,35.81547485,80B,Southwest,2022-02-28,7:39:00,All Other/Damage to Property (minor),RALEIGH,4400 BLOCK LAKE BOONE TRL
P22010808,-78.62724439,35.78284814,40A,Downtown,2022-02-28,7:52:00,Motor Vehicle Theft,RALEIGH,200 BLOCK SEAWELL AVE
P22010809,-78.68102369,35.87447594,35H,Northwest,2022-02-28,8:25:00,Larceny/All Other,RALEIGH,6400 BLOCK CAMPUS DR DR NORTH
P22010813,-78.63922254,35.77786765,35D,Downtown,2022-02-28,8:41:00,Larceny/Theft from Building,RALEIGH,200 BLOCK FAYETTEVILLE ST
P22010814,-78.54523943,35.7567621,25E,Southeast,2022-02-28,7:37:00,Assault/Simple,RALEIGH,5700 BLOCK ANGELFISH CT
P22010815,-78.79947004,35.91997564,30A,Northwest,2022-02-28,8:20:00,Burglary/Commercial or Non-Residential,RALEIGH,11200 BLOCK SALEM GLEN LN
P22010815,-78.79947004,35.91997564,53A,Northwest,2022-02-28,8:20:00,Damage to Property (Group A),RALEIGH,11200 BLOCK SALEM GLEN LN
P22010817,-78.71191338,35.87820545,35F,Northwest,2022-02-28,8:41:00,Larceny/Theft from Motor Vehicle,RALEIGH,4900 BLOCK KINROSS CT
P22010818,-78.58121116,35.77501355,35F,Southeast,2022-02-28,8:45:00,Larceny/Theft from Motor Vehicle,RALEIGH,3300 BLOCK SUNGROVE LN
P22010823,-78.59051009,35.84626591,80B,Northeast,2022-02-28,9:36:00,All Other/Damage to Property (minor),RALEIGH,2900 BLOCK CALVARY DR
P22010825,-78.65089216,35.78747171,53A,Downtown,2022-02-28,10:10:00,Damage to Property (Group A),RALEIGH,500 BLOCK ST MARYS ST
P22010826,-78.65063396,35.89778623,35C,Northwest,2022-02-28,10:12:00,Larceny/Shoplifting,RALEIGH,8700 BLOCK SIX FORKS RD
P22010827,-78.58007266,35.84451433,25F,Northeast,2022-02-28,9:51:00,Assault/Intimidation-Communicating Threats,RALEIGH,4600 BLOCK CAPITAL BLVD
P22010827,-78.58007266,35.84451433,35C,Northeast,2022-02-28,9:51:00,Larceny/Shoplifting,RALEIGH,4600 BLOCK CAPITAL BLVD
P22010828,-78.6451073,35.77847927,35H,Downtown,2022-02-28,10:13:00,Larceny/All Other,RALEIGH,300 BLOCK W HARGETT ST
P22010829,-78.60771405,35.85366036,35F,North,2022-02-28,10:15:00,Larceny/Theft from Motor Vehicle,RALEIGH,5100 BLOCK WINDY HILL DR
P22010830,-78.62116191,35.82247594,35C,Northeast,2022-02-28,10:19:00,Larceny/Shoplifting,RALEIGH,1200 BLOCK WAKE TOWNE DR
P22010834,-78.55958058,35.80926567,56F,Southeast,2022-02-28,10:32:00,Fraud/Worthless-Bad Checks,RALEIGH,4600 BLOCK DREWBRIDGE WAY
P22010834,-78.55958058,35.80926567,35H,Southeast,2022-02-28,10:32:00,Larceny/All Other,RALEIGH,4600 BLOCK DREWBRIDGE WAY
P22010835,-78.6366708,35.77655134,35F,Downtown,2022-02-28,10:05:00,Larceny/Theft from Motor Vehicle,RALEIGH,300 BLOCK S BLOUNT ST
P22010838,-78.60713321,35.74147116,25F,Southeast,2022-02-28,10:41:00,Assault/Intimidation-Communicating Threats,RALEIGH,2800 BLOCK CREECH RD
P22010839,-78.65063396,35.89778623,35C,Northwest,2022-02-28,10:59:00,Larceny/Shoplifting,RALEIGH,8700 BLOCK SIX FORKS RD
P22010841,-78.57729299,35.86359645,35C,Northeast,2022-02-28,11:11:00,Larceny/Shoplifting,RALEIGH,3600 BLOCK SUMNER BLVD
P22010842,-78.78205388,35.91235829,25E,Northwest,2022-02-28,10:52:00,Assault/Simple,RALEIGH,8000 BLOCK BRIER CREEK PKWY
P22010845,-78.5518507,35.88277699,25E,North,2022-02-28,11:04:00,Assault/Simple,RALEIGH,5100 BLOCK DICE DR
P22010848,-78.72370453,35.7689683,35H,Southwest,2022-02-28,10:48:00,Larceny/All Other,RALEIGH,800 BLOCK JONES FRANKLIN RD
P22010850,-78.78938752,35.91263839,80A,Northwest,2022-02-28,11:30:00,All Other/All Other Offenses,RALEIGH,10400 BLOCK LITTLE BRIER CREEK LN
P22010851,-78.66668792,35.82995102,56C,Southwest,2022-02-28,10:49:00,Fraud/ID Theft,RALEIGH,3700 BLOCK GLENWOOD AVE
P22010852,-78.7028414,35.83751807,25E,Northwest,2022-02-28,8:54:00,Assault/Simple,RALEIGH,4400 BLOCK LAUREL HILLS RD
P22010853,-78.60468235,35.78007672,40A,Southeast,2022-02-28,10:04:00,Motor Vehicle Theft,RALEIGH,100 BLOCK LORD BERKLEY RD
P22010856,-78.59967451,35.85219399,30A,Northeast,2022-02-28,10:50:00,Burglary/Commercial or Non-Residential,RALEIGH,5000 BLOCK ATLANTIC AVE
P22010858,-78.61961496,35.78254877,25E,Southeast,2022-02-28,11:55:00,Assault/Simple,RALEIGH,1200 BLOCK PENDER ST
P22010859,-78.64888113,35.74901085,35G,Southeast,2022-02-28,10:51:00,Larceny/Theft of MV Parts-Accessories,RALEIGH,2500 BLOCK S SAUNDERS ST
P22010862,-78.65857071,35.78450769,35F,Southwest,2022-02-28,12:25:00,Larceny/Theft from Motor Vehicle,RALEIGH,1600 BLOCK HILLSBOROUGH ST
P22010862,-78.65857071,35.78450769,53A,Southwest,2022-02-28,12:25:00,Damage to Property (Group A),RALEIGH,1600 BLOCK HILLSBOROUGH ST
P22010863,-78.55640356,35.75519594,25G,Southeast,2022-02-28,12:29:00,Assault/Aggravated,RALEIGH,5000 BLOCK THREE FRENCHMEN CT
P22010866,-78.78339043,35.91106174,56A,Northwest,2022-02-28,11:44:00,Fraud/False Pretense or Swindle,RALEIGH,8100 BLOCK BRIER CREEK PKWY
P22010869,-78.73181277,35.78014546,20B,Southwest,2022-02-28,12:38:00,Robbery/From Person,RALEIGH,5400 BLOCK PORTREE PL
P22010869,-78.73181277,35.78014546,80B,Southwest,2022-02-28,12:38:00,All Other/Damage to Property (minor),RALEIGH,5400 BLOCK PORTREE PL
P22010870,-78.59664364,35.85841489,45A,Northeast,2022-02-28,12:10:00,Arson,RALEIGH,5500 BLOCK ATLANTIC SPRINGS RD
P22010873,-78.65198917,35.84785788,53A,North,2022-02-28,13:01:00,Damage to Property (Group A),RALEIGH,4800 BLOCK YADKIN DR
P22010882,-78.72726092,35.87546612,54Z,Northwest,2022-02-28,13:46:00,Drug Equipment/Paraphernalia,RALEIGH,GREEN LANTERN ST  &  PINECREST RD
P22010882,-78.72726092,35.87546612,54D,Northwest,2022-02-28,13:46:00,Drug Violation/Misdemeanor,RALEIGH,GREEN LANTERN ST  &  PINECREST RD
P22010884,-78.67655025,35.8396402,35C,Northwest,2022-02-28,14:05:00,Larceny/Shoplifting,RALEIGH,4300 BLOCK GLENWOOD AVE
P22010889,0,0,54D,Northwest,2022-02-28,14:55:00,Drug Violation/Misdemeanor,WAKE COUNTY,
P22010891,-78.74441376,35.92648115,25F,Northwest,2022-02-28,15:14:00,Assault/Intimidation-Communicating Threats,RALEIGH,5200 BLOCK CAMFIRTH WAY
P22010892,-78.74605071,35.92832483,80A,Northwest,2022-02-28,15:18:00,All Other/All Other Offenses,RALEIGH,12100 BLOCK RANLEIGH CT
P22010893,-78.63101905,35.78094187,35H,Downtown,2022-02-28,15:20:00,Larceny/All Other,RALEIGH,500 BLOCK EAST EDENTON ST
P22010895,-78.63938261,35.77496282,35D,Downtown,2022-02-28,15:24:00,Larceny/Theft from Building,RALEIGH,400 BLOCK FAYETTEVILLE ST
P22010896,-78.65844611,35.81350266,35H,Southwest,2022-02-28,15:27:00,Larceny/All Other,RALEIGH,2800 BLOCK OBERLIN RD
P22010897,-78.57352422,35.78184665,80A,Southeast,2022-02-28,14:50:00,All Other/All Other Offenses,RALEIGH,I 440 EB  &  I 87 NB
P22010898,-78.63829288,35.77696935,56A,Downtown,2022-02-28,14:53:00,Fraud/False Pretense or Swindle,RALEIGH,200 BLOCK S WILMINGTON ST
P22010900,-78.55414502,35.88446437,25E,North,2022-02-28,15:14:00,Assault/Simple,RALEIGH,5100 BLOCK DUCKWORTH CT
P22010902,-78.75729797,35.89551459,56C,Northwest,2022-02-28,15:54:00,Fraud/ID Theft,RALEIGH,9100 BLOCK GLENWOOD AV
P22010905,-78.59084155,35.77571679,25E,Southeast,2022-02-28,15:37:00,Assault/Simple,RALEIGH,2800 BLOCK DONOVAN PL
P22010906,-78.54471791,35.94193148,30A,North,2022-02-28,14:43:00,Burglary/Commercial or Non-Residential,RALEIGH,10700 BLOCK COMMON OAKS DR
P22010910,-78.54355535,35.86966691,56C,North,2022-02-28,16:23:00,Fraud/ID Theft,RALEIGH,6600 BLOCK PROFESSOR ST
P22010911,-78.64488163,35.73340845,52D,Southeast,2022-02-28,14:53:00,Stolen Property/Recover Stolen Vehicle (no arrest) (STOLEN FROM OTHER JURISDICTION),RALEIGH,3200 BLOCK DURHAM DR
P22010915,-78.50714228,35.89400852,35F,North,2022-02-28,15:52:00,Larceny/Theft from Motor Vehicle,RALEIGH,2900 BLOCK FORESTVILLE RD
P22010916,-78.6487811,35.74559678,25F,Southeast,2022-02-28,16:03:00,Assault/Intimidation-Communicating Threats,RALEIGH,2700 BLOCK S SAUNDERS ST
P22010920,-78.64795127,35.77992027,55A,Downtown,2022-02-28,15:01:00,Counterfeiting/Forgery,RALEIGH,600 BLOCK W MORGAN ST
P22010921,-78.57360041,35.82316936,82E,Northeast,2022-02-28,15:45:00,Humane/Animal Bite,RALEIGH,3900 BLOCK HAITHCOCK RD
P22010923,-78.57561068,35.86962077,35C,Northeast,2022-02-28,17:18:00,Larceny/Shoplifting,RALEIGH,7500 BLOCK OLD WAKE FOREST RD
P22010924,-78.73993326,35.89421896,30A,Northwest,2022-02-28,15:51:00,Burglary/Commercial or Non-Residential,RALEIGH,8600 BLOCK CHURCHDOWN CT
P22010924,-78.73993326,35.89421896,53A,Northwest,2022-02-28,15:51:00,Damage to Property (Group A),RALEIGH,8600 BLOCK CHURCHDOWN CT
P22010925,-78.63927584,35.77693296,56B,Downtown,2022-02-28,17:25:00,Fraud/Credit Card-ATM Fraud,RALEIGH,300 BLOCK FAYETTEVILLE STREET
P22010927,-78.63925919,35.77710011,56B,Downtown,2022-02-28,17:27:00,Fraud/Credit Card-ATM Fraud,RALEIGH,200 BLOCK FAYETTEVILLE ST
P22010929,-78.59443321,35.80843545,53A,Northeast,2022-02-28,17:03:00,Damage to Property (Group A),RALEIGH,WESTINGHOUSE BLVD  &  BRENTWOOD RD
P22010930,-78.56221295,35.79858674,35C,Southeast,2022-02-28,17:01:00,Larceny/Shoplifting,RALEIGH,4400 BLOCK NEW BERN AVE
P22010932,-78.58054133,35.78815607,25G,Southeast,2022-02-28,17:28:00,Assault/Aggravated,RALEIGH,3200 BLOCK CALUMET DR
P22010936,-78.59084155,35.77571679,25E,Southeast,2022-02-28,17:28:00,Assault/Simple,RALEIGH,2800 BLOCK DONOVAN PL
P22010937,-78.55557696,35.92799666,82E,North,2022-02-28,17:00:00,Humane/Animal Bite,RALEIGH,3300 BLOCK CANOE BROOK PKWY
P22010938,-78.728638,35.90028794,35F,Northwest,2022-02-28,18:07:00,Larceny/Theft from Motor Vehicle,RALEIGH,8900 BLOCK LANGWOOD DR
P22010940,-78.63275585,35.77070218,56B,Downtown,2022-02-28,16:31:00,Fraud/Credit Card-ATM Fraud,RALEIGH,700 BLOCK S EAST ST
P22010941,-78.61371015,35.76078773,17M,Southeast,2022-02-28,17:15:00,Sex Offense/Indecent Exposure,RALEIGH,1400 BLOCK ROCK QUARRY RD
P22010942,-78.57338149,35.85452055,56C,Northeast,2022-02-28,18:18:00,Fraud/ID Theft,RALEIGH,5000 BLOCK SEDGEWICK DRIVE
P22010945,-78.63034039,35.80445715,56C,Downtown,2022-02-28,18:29:00,Fraud/ID Theft,RALEIGH,700 BLOCK PERSHING RD
P22010948,-78.57152676,35.86543996,35C,Northeast,2022-02-28,18:12:00,Larceny/Shoplifting,RALEIGH,5900 BLOCK TRIANGLE TOWN BLVD
P22010949,-78.65731813,35.79131199,53A,Southwest,2022-02-28,17:44:00,Damage to Property (Group A),RALEIGH,1900 BLOCK SMALLWOOD DR
P22010950,-78.60533897,35.85747549,35F,North,2022-02-28,18:40:00,Larceny/Theft from Motor Vehicle,RALEIGH,2000 BLOCK QUAIL FOREST DR
P22010951,-78.63862788,35.83698186,35G,North,2022-02-28,17:21:00,Larceny/Theft of MV Parts-Accessories,RALEIGH,100 BLOCK PARK AT NORTH HILLS ST
P22010953,-78.78512575,35.9091423,35C,Northwest,2022-02-28,18:47:00,Larceny/Shoplifting,RALEIGH,8200 BLOCK BRIER CREEK PKWY
P22010955,-78.60214068,35.81376326,54C,Northeast,2022-02-28,19:05:00,Drug Violation/Felony,RALEIGH,2600 BLOCK APPLIANCE CT
P22010956,-78.63819653,35.77883486,35F,Downtown,2022-02-28,19:05:00,Larceny/Theft from Motor Vehicle,RALEIGH,100 BLOCK S WILMINGTON ST
P22010958,-78.71609268,35.8536255,35G,Northwest,2022-02-28,19:09:00,Larceny/Theft of MV Parts-Accessories,RALEIGH,4600 BLOCK TWISTED OAKS DR
P22010960,-78.67661864,35.77943617,17M,Southwest,2022-02-28,18:50:00,Sex Offense/Indecent Exposure,RALEIGH,2100 BLOCK AVENT FERRY RD
P22010964,-78.6125315,35.77936114,35F,Southeast,2022-02-28,20:17:00,Larceny/Theft from Motor Vehicle,RALEIGH,1900 BLOCK HAWKINS ST
P22010965,-78.64505742,35.80434578,70D,Downtown,2022-02-28,19:08:00,Disorderly Conduct/Drunk-Disorderly,RALEIGH,500 BLOCK W WHITAKER MILL RD
P22010965,-78.64505742,35.80434578,54C,Downtown,2022-02-28,19:08:00,Drug Violation/Felony,RALEIGH,500 BLOCK W WHITAKER MILL RD
P22010966,-78.74182598,35.87954366,35H,Northwest,2022-02-28,20:28:00,Larceny/All Other,RALEIGH,7700 BLOCK ASTORIA PL
P22010967,-78.62001709,35.88267111,35H,North,2022-02-28,20:30:00,Larceny/All Other,RALEIGH,7100 BLOCK GRIST MILL RD
P22010970,-78.58425097,35.78219287,25E,Southeast,2022-02-28,18:53:00,Assault/Simple,RALEIGH,3000 BLOCK FALSTAFF RD
P22010971,-78.55344771,35.83818105,80B,Northeast,2022-02-28,20:46:00,All Other/Damage to Property (minor),RALEIGH,4400 BLOCK BRINTONS COTTAGE ST
P22010973,-78.5829798,35.86995682,54D,Northeast,2022-02-28,21:12:00,Drug Violation/Misdemeanor,RALEIGH,OLD WAKE FOREST RD  &  RURITANIA ST
P22010977,-78.58007446,35.84697769,35H,Northeast,2022-02-28,21:16:00,Larceny/All Other,RALEIGH,4600 BLOCK CAPITAL BLVD
P22010978,-78.60954421,35.75089488,25G,Southeast,2022-02-28,21:36:00,Assault/Aggravated,RALEIGH,1700 BLOCK TEE DEE ST
P22010981,-78.57622311,35.79780512,25E,Southeast,2022-02-28,22:08:00,Assault/Simple,RALEIGH,3800 BLOCK NEW BERN AV
P22010985,-78.58981393,35.84409812,25E,Northeast,2022-02-28,23:08:00,Assault/Simple,RALEIGH,4500 BLOCK HARGROVE RD
P22010987,-78.58521651,35.82874819,54Z,Northeast,2022-02-28,23:29:00,Drug Equipment/Paraphernalia,RALEIGH,3500 BLOCK CAPITAL BLVD
P22010987,-78.58521651,35.82874819,54D,Northeast,2022-02-28,23:29:00,Drug Violation/Misdemeanor,RALEIGH,3500 BLOCK CAPITAL BLVD
P22010988,-78.71282432,35.83282783,25E,Northwest,2022-02-28,23:36:00,Assault/Simple,RALEIGH,4300 BLOCK FURMAN HALL
P22010989,-78.58939223,35.75230994,25E,Southeast,2022-03-01,0:13:00,Assault/Simple,RALEIGH,3400 BLOCK SUNBRIGHT LN
P22010990,-78.63282498,35.76824321,54Z,Downtown,2022-03-01,0:44:00,Drug Equipment/Paraphernalia,RALEIGH,900 BLOCK S EAST ST
P22010990,-78.63282498,35.76824321,54C,Downtown,2022-03-01,0:44:00,Drug Violation/Felony,RALEIGH,900 BLOCK S EAST ST
P22010992,-78.59710522,35.857755,54Z,Northeast,2022-03-01,0:38:00,Drug Equipment/Paraphernalia,RALEIGH,5500 BLOCK ATLANTIC SPRINGS RD
P22010992,-78.59710522,35.857755,54C,Northeast,2022-03-01,0:38:00,Drug Violation/Felony,RALEIGH,5500 BLOCK ATLANTIC SPRINGS RD
P22010992,-78.59710522,35.857755,54D,Northeast,2022-03-01,0:38:00,Drug Violation/Misdemeanor,RALEIGH,5500 BLOCK ATLANTIC SPRINGS RD
P22010993,-78.61946506,35.77113982,51C,Southeast,2022-03-01,0:53:00,Weapons/Shots Fired,RALEIGH,1300 BLOCK JOE LOUIS AVE
P22010994,-78.63886307,35.83827522,25E,North,2022-03-01,0:41:00,Assault/Simple,RALEIGH,100 BLOCK ST ALBANS DR
P22010996,-78.69632087,35.76766996,55A,Southwest,2022-03-01,0:59:00,Counterfeiting/Forgery,RALEIGH,3200 BLOCK AVENT FERRY RD
P22010997,-78.56898645,35.79895426,54C,Southeast,2022-03-01,2:15:00,Drug Violation/Felony,RALEIGH,3900 BLOCK NEW BERN AVE
P22010999,-78.57339685,35.73785097,25E,Southeast,2022-03-01,3:21:00,Assault/Simple,RALEIGH,3100 BLOCK DRAYFORD WAY
P22010999,-78.57339685,35.73785097,25G,Southeast,2022-03-01,3:21:00,Assault/Aggravated,RALEIGH,3100 BLOCK DRAYFORD WAY
P22011001,-78.5711179,35.86940907,71A,Northeast,2022-03-01,4:59:00,Traffic/DWI (Driving While Impaired),RALEIGH,TRIANGLE PROMENADE DR  &  TRIANGLE TOWN
P22011003,-78.5711179,35.86940907,80A,Northeast,2022-03-01,4:24:00,All Other/All Other Offenses,RALEIGH,TRIANGLE PROMENADE DR  &  TRIANGLE TOWN BLVD
P22011004,-78.57040977,35.86905333,51A,Northeast,2022-03-01,5:06:00,Weapons/Carry Concealed Weapon,RALEIGH,7600 BLOCK TRIANGLE PROMENADE DR
P22011016,-78.67629365,35.79990489,30B,Southwest,2022-03-01,7:54:00,Burglary/Residential,RALEIGH,800 BLOCK DIXIE TRL
P22011021,-78.79300464,35.91200076,25E,Northwest,2022-03-01,7:56:00,Assault/Simple,RALEIGH,9100 BLOCK MISSION HILLS CT
P22011025,-78.58336765,35.77474321,35H,Southeast,2022-03-01,8:18:00,Larceny/All Other,RALEIGH,3300 BLOCK SUNGROVE LN
P22011027,-78.74844004,35.89407249,35G,Northwest,2022-03-01,8:14:00,Larceny/Theft of MV Parts-Accessories,RALEIGH,6000 BLOCK TRIANGLE DR
P22011031,-78.81014168,35.89897439,30A,Northwest,2022-03-01,8:26:00,Burglary/Commercial or Non-Residential,RALEIGH,9900 BLOCK JAMISON VALLEY DR
P22011037,-78.62234826,35.87308901,56A,North,2022-03-01,9:09:00,Fraud/False Pretense or Swindle,RALEIGH,6600 BLOCK FALLS OF NEUSE RD
P22011039,-78.7338676,35.78486746,25G,Southwest,2022-03-01,9:46:00,Assault/Aggravated,RALEIGH,400 BLOCK WOLF VIEW DR
P22011045,-78.67728088,35.74762173,35F,Southwest,2022-03-01,10:32:00,Larceny/Theft from Motor Vehicle,RALEIGH,2500 BLOCK RED LODGE PL
P22011046,-78.64015991,35.73573531,56C,Downtown,2022-03-01,10:18:00,Fraud/ID Theft,RALEIGH,3300 BLOCK HAMMOND RD
P22011047,-78.5873491,35.82417438,25E,Northeast,2022-03-01,10:27:00,Assault/Simple,RALEIGH,3300 BLOCK CAPITAL BLVD
P22011048,-78.74544431,35.89535517,35G,Northwest,2022-03-01,9:27:00,Larceny/Theft of MV Parts-Accessories,RALEIGH,5900 BLOCK TRIANGLE DR
P22011050,-78.70392548,35.85721103,54Z,Northwest,2022-03-01,11:07:00,Drug Equipment/Paraphernalia,RALEIGH,6200 BLOCK GLENWOOD AV
P22011050,-78.70392548,35.85721103,54D,Northwest,2022-03-01,11:07:00,Drug Violation/Misdemeanor,RALEIGH,6200 BLOCK GLENWOOD AV
P22011051,-78.57857712,35.8586054,54C,Northeast,2022-03-01,11:17:00,Drug Violation/Felony,RALEIGH,5200 BLOCK GREENS DAIRY RD
P22011053,-78.660677,35.80305378,25E,Southwest,2022-03-01,10:27:00,Assault/Simple,RALEIGH,1400 BLOCK LYON ST
P22011054,-78.67336153,35.83676211,35F,Northwest,2022-03-01,10:59:00,Larceny/Theft from Motor Vehicle,RALEIGH,3900 BLOCK ARROW DR
P22011054,-78.67336153,35.83676211,80B,Northwest,2022-03-01,10:59:00,All Other/Damage to Property (minor),RALEIGH,3900 BLOCK ARROW DR
P22011058,-78.56221295,35.79858674,80D,Southeast,2022-03-01,11:33:00,All Other/Trespassing,RALEIGH,4400 BLOCK NEW BERN AVE
P22011058,-78.56221295,35.79858674,35C,Southeast,2022-03-01,11:33:00,Larceny/Shoplifting,RALEIGH,4400 BLOCK NEW BERN AVE
P22011059,-78.70154411,35.85559418,80A,Northwest,2022-03-01,11:41:00,All Other/All Other Offenses,RALEIGH,6100 BLOCK GLENWOOD AVE
P22011065,-78.56729361,35.75406082,35F,Southeast,2022-03-01,11:50:00,Larceny/Theft from Motor Vehicle,RALEIGH,1600 BLOCK BROWNAIRS LN
P22011066,-78.62820401,35.77396355,82E,Downtown,2022-03-01,11:20:00,Humane/Animal Bite,RALEIGH,500 BLOCK HAYWOOD ST
P22011069,-78.53470804,35.73866444,56A,Southeast,2022-03-01,12:01:00,Fraud/False Pretense or Swindle,RALEIGH,5900 BLOCK PADUCAH DR
P22011072,-78.63939737,35.76231729,80E,Downtown,2022-03-01,12:19:00,All Other/Unauthorized Use of Vehicle,RALEIGH,1400 BLOCK S WILMINGTON ST
P22011075,-78.56221295,35.79858674,35C,Southeast,2022-03-01,12:30:00,Larceny/Shoplifting,RALEIGH,4400 BLOCK NEW BERN AVE
P22011076,-78.60105788,35.85593058,35H,North,2022-03-01,13:22:00,Larceny/All Other,RALEIGH,5600 BLOCK OLD WAKE FOREST RD
P22011085,-78.72021062,35.89045811,80B,Northwest,2022-03-01,14:08:00,All Other/Damage to Property (minor),RALEIGH,8400 BLOCK PRIDE WAY
P22011088,-78.5676988,35.83386684,25G,Northeast,2022-03-01,13:51:00,Assault/Aggravated,RALEIGH,4100 BLOCK COBBLE CT
P22011089,-78.56593986,35.86673228,20A,Northeast,2022-03-01,14:26:00,Robbery/From Business,RALEIGH,8000 BLOCK TARGET SIDE DR
P22011092,-78.57978981,35.84435936,56F,Northeast,2022-03-01,14:25:00,Fraud/Worthless-Bad Checks,RALEIGH,4400 BLOCK CAPITAL BLVD
P22011094,-78.58176601,35.87400052,20A,Northeast,2022-03-01,14:37:00,Robbery/From Business,RALEIGH,6400 BLOCK TRIANGLE PLANTATION DR
P22011095,-78.60464904,35.77970986,35C,Southeast,2022-03-01,13:31:00,Larceny/Shoplifting,RALEIGH,2100 BLOCK NEW BERN AVE
P22011101,-78.60017822,35.74117774,40A,Southeast,2022-03-01,15:00:00,Motor Vehicle Theft,RALEIGH,2800 BLOCK SMOKE PL
P22011109,-78.62435864,35.87090534,53A,North,2022-03-01,14:25:00,Damage to Property (Group A),RALEIGH,7100 BLOCK SANDY FORKS RD
P22011111,-78.63350926,35.77404918,80D,Downtown,2022-03-01,15:50:00,All Other/Trespassing,RALEIGH,500 BLOCK S BLOODWORTH ST
P22011112,-78.56221295,35.79858674,40A,Southeast,2022-03-01,15:33:00,Motor Vehicle Theft,RALEIGH,4400 BLOCK NEW BERN AVE
P22011113,-78.59802737,35.787726,80E,Southeast,2022-03-01,15:16:00,All Other/Unauthorized Use of Vehicle,RALEIGH,2700 BLOCK MILBURNIE RD
P22011117,-78.72215141,35.78521244,54C,Southwest,2022-03-01,16:35:00,Drug Violation/Felony,RALEIGH,5600 BLOCK WESTERN BLVD
P22011119,-78.70317414,35.7845652,35D,Southwest,2022-03-01,15:43:00,Larceny/Theft from Building,RALEIGH,1000 BLOCK SCHAUB DR
P22011121,-78.61874546,35.84463676,25E,North,2022-03-01,16:19:00,Assault/Simple,RALEIGH,4600 BLOCK HIDDENBROOK DR
P22011123,-78.59175737,35.77443488,25E,Southeast,2022-03-01,16:41:00,Assault/Simple,RALEIGH,500 BLOCK DONALD ROSS DR
P22011126,-78.58489846,35.82974377,40A,Northeast,2022-03-01,16:51:00,Motor Vehicle Theft,RALEIGH,3600 BLOCK CAPITAL BLVD
P22011127,-78.74481217,35.77767755,25F,Southwest,2022-03-01,16:46:00,Assault/Intimidation-Communicating Threats,RALEIGH,6200 BLOCK ST REGIS CIR
P22011134,-78.61104815,35.81835107,30A,Northeast,2022-03-01,16:51:00,Burglary/Commercial or Non-Residential,RALEIGH,1500 BLOCK ATRIA CIR
P22011135,-78.65288062,35.79573613,56C,Southwest,2022-03-01,18:32:00,Fraud/ID Theft,RALEIGH,700 BLOCK WADE AV
P22011136,-78.63257625,35.77403078,35F,Downtown,2022-03-01,17:52:00,Larceny/Theft from Motor Vehicle,RALEIGH,400 BLOCK S EAST ST
P22011137,-78.70310106,35.85664673,35D,Northwest,2022-03-01,16:44:00,Larceny/Theft from Building,RALEIGH,6200 BLOCK GLENWOOD AVE
P22011139,-78.59412347,35.86337986,35F,Northeast,2022-03-01,18:37:00,Larceny/Theft from Motor Vehicle,RALEIGH,2600 BLOCK DISCOVERY DRIVE
P22011140,-78.60343343,35.78843906,35F,Southeast,2022-03-01,16:49:00,Larceny/Theft from Motor Vehicle,RALEIGH,2300 BLOCK STEVENS RD
P22011141,-78.62450886,35.8284445,25E,North,2022-03-01,17:45:00,Assault/Simple,RALEIGH,900 BLOCK NAVAHO DR
P22011143,-78.5957059,35.85478094,80B,Northeast,2022-02-28,14:06:00,All Other/Damage to Property (minor),RALEIGH,5300 BLOCK DEPARTURE DR
P22011144,-78.58607627,35.84348774,30B,Northeast,2022-03-01,17:56:00,Burglary/Residential,RALEIGH,4800 BLOCK WATERBURY RD
P22011155,-78.55829045,35.89877633,35C,North,2022-03-01,15:23:00,Larceny/Shoplifting,WAKE COUNTY,4800 BLOCK THORNTON RD
P22011157,-78.5381716,35.87551983,35C,North,2022-03-01,17:48:00,Larceny/Shoplifting,RALEIGH,7500 BLOCK RAMBLE WAY
P22011168,-78.63656185,35.77862913,51B,Northeast,2022-03-01,19:55:00,Weapons/Illegal Possession of Weapon,RALEIGH,100 BLOCK S BLOUNT ST
P22011169,-78.70188035,35.86864612,25E,Northwest,2022-03-01,19:03:00,Assault/Simple,RALEIGH,3900 BLOCK HARESNIPE CT
P22011171,-78.58311169,35.78563999,25E,Southeast,2022-03-01,18:57:00,Assault/Simple,RALEIGH,3000 BLOCK HOLSTON LN
P22011173,-78.80021527,35.91881075,51C,Northwest,2022-03-01,19:37:00,Weapons/Shots Fired,RALEIGH,BRIER CLUB LN  &  T W ALEXANDER DR
